expid,model_name,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp126,rbm,,,,-29.9473,-119.557,-120.489,0.0847946,0.418867,0.418848
exp285,rbm,,,,-70.7377,-124.7,-125.627,0.271079,0.396499,0.398764
exp180,rbm,,,,-94.3975,-113.928,-114.443,,,
exp152,dbm,-93.25883464263552,-148.21854064307058,-145.56801910520403,-15.2804,-192.761,-187.079,0.0518973,0.404566,0.39645
exp2,rbm,-105.95659002099509,-117.45454647507131,-116.18048503862704,-87.8798,-105.55,-104.072,0.364898,0.440087,0.433229
exp15,rbm,,,,-129.24,-136.843,-137.08,0.473272,0.493367,0.495901
exp185,dbm,-224.15086504975432,-232.72898559671552,-230.92282124927794,-112.146,-117.541,-116.24,0.483298,0.505528,0.497278
exp237,dbm,-120.30429875650361,-131.5706345027379,-132.08815459726623,-103.359,-125.356,-126.033,0.358066,0.420348,0.423139
exp315,dbm,,,,-87.5717,-330.71,-333.836,0.15244,0.423821,0.425615
exp98,dbm,-101.32635462045801,-195.53267488388724,-192.85776561371176,-26.4005,-343.467,-337.145,0.0511216,0.429627,0.423734
