expid,model_name,Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp41,rbm,94.65074,89.42927,88.38563,0.59762203125,0.6491304321289062,0.6536521606445312,PF00240,50000,False,True,69,500,None,0.1000,NONE,0.0100,0.5000,0.9000,-174.05628713731625,-188.83892129556779,-187.05137384888462,-100.743,-117.705,-116.02,0.416799,0.464864,0.457001
exp258,dbm,98.90848,64.81125,64.98853,0.632591,0.785264208984375,0.784977783203125,PF00595,1000,False,True,81,500,500,0.5000,INVERSE_T,0.0010,0.5000,0.9000,-233.68719092830338,-265.74511668431137,-266.82275437864052,-90.3406,-117.238,-117.745,0.322557,0.40072,0.402423
exp131,rbm,24.98493,30.10383,29.57210,0.88548078125,0.8824202880859375,0.8860724487304688,PF00240,99000,False,True,69,1000,None,0.1000,NONE,0.0010,0.5000,0.9000,-93.96868740706725,-188.70761591912344,-186.19160598631004,-11.765,-125.295,-123.112,0.0575699,0.366203,0.359091
exp288,dbm,18.91157,13.97296,14.04540,0.929172,0.95125927734375,0.9518765625,PF00595,183000,False,False,81,500,500,0.1000,INVERSE_T,0.0010,0.5000,0.9000,-105.95080024513527,-170.35597165594663,-171.45489193306116,-65.319,-344.979,-349.758,0.114472,0.423432,0.427702
exp113,dbm,104.88085,95.34160,95.13759,0.535010859375,0.5947825927734375,0.5967681274414063,PF00240,62000,False,True,69,100,100,0.1000,NONE,0.0010,0.5000,0.9000,-154.07915058674223,-171.94737264648887,-170.1443621314873,-93.3678,-104.763,-103.593,0.406811,0.447814,0.441563
exp80,rbm,38.16992,40.96211,40.53505,0.839140703125,0.8549420166015625,0.85531884765625,PF00240,56000,False,False,69,1000,None,0.0100,NONE,0.0100,0.5000,0.9000,,,,-58.4547,-97.1779,-95.53,0.24405,0.400628,0.392263
exp266,rbm,24.76183,30.38454,30.10976,0.886690859375,0.8821738891601563,0.8827825927734375,PF00240,79000,False,True,69,1000,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,-90.410859561856455,-185.44897141277443,-183.08227000768795,-12.1208,-125.517,-122.757,0.0586159,0.370655,0.363683
exp171,dbm,118.13028,103.59754,104.21156,0.56807725,0.6382419921875,0.634977783203125,PF00595,121000,False,False,81,100,100,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-135.03575547103998,-139.21272153388509,-139.72936511620924,-120.223,-126.378,-126.873,0.445565,0.467718,0.468848
exp78,dbm,131.07980,117.84214,118.15993,0.5079840625,0.588829638671875,0.5882271484375,PF00595,1000,False,True,81,1000,1000,0.0100,NONE,0.0100,0.5000,0.9000,,,,-127.245,-131.159,-131.624,0.474259,0.490675,0.491476
exp336,dbm,122.49166,105.09018,105.40348,0.5524030625,0.6282765625,0.627412353515625,PF00595,54000,True,False,81,500,500,0.5000,NONE,0.0100,0.0000,0.0000,,,,-121.118,-127.046,-127.297,0.451513,0.47132,0.471971
exp350,dbm,87.52200,76.33882,74.96010,0.6345035546875,0.695840576171875,0.7021884155273438,PF00240,191000,False,False,69,1000,1000,0.5000,NONE,0.0100,0.0000,0.0000,-120.04270121968921,-132.93969402967338,-131.83464470330443,-88.2995,-106.312,-104.782,0.368672,0.43029,0.424207
exp194,dbm,123.67587,119.82462,118.86505,0.459206171875,0.4901304321289062,0.49765216064453127,PF00240,1000,False,True,69,100,100,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-180.26184943505348,-185.75165194894743,-184.49578889826677,-120.511,-124.351,-123.313,0.521852,0.536976,0.529478
exp17,rbm,58.08369,57.10702,56.27730,0.755972265625,0.7849420166015625,0.7870289916992188,PF00240,2000,False,False,69,500,None,0.5000,NONE,0.0100,0.5000,0.9000,,,,-70.8419,-102.938,-101.539,0.303287,0.422428,0.4169
exp17,dbm,93.01688,82.03803,80.85337,0.6115405859375,0.667724609375,0.6716956787109375,PF00240,4000,False,False,69,500,500,0.5000,NONE,0.0100,0.5000,0.9000,,,,-93.748,-109.251,-107.763,0.391462,0.443904,0.437781
exp24,dbm,135.66170,128.73157,129.31239,0.4874383125,0.519669140625,0.516883935546875,PF00595,1000,False,True,81,1000,1000,0.5000,NONE,0.0100,0.5000,0.9000,-239.68205692278593,-243.6823380164534,-244.99249952147511,-133.778,-136.195,-136.927,0.508863,0.517076,0.520319
exp239,rbm,86.59653,81.52439,80.97278,0.632725,0.68668115234375,0.6889855346679687,PF00240,88000,False,True,69,1000,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-140.29514530968947,-157.80143212803046,-156.10603522291331,-92.5807,-113.316,-111.505,0.38054,0.439641,0.433229
exp71,dbm,70.11969,58.33091,57.60195,0.702962109375,0.775,0.7777825927734375,PF00240,3000,False,False,69,500,500,0.0100,NONE,0.0100,0.5000,0.9000,-104.58037466273868,-122.13033708113403,-120.38441256328474,-80.4595,-114.03,-112.132,0.320319,0.418977,0.413037
exp6,rbm,137.05816,132.97842,133.41751,0.47913040625,0.503387646484375,0.50202470703125,PF00595,4000,False,True,81,100,None,0.5000,NONE,0.0100,0.5000,0.9000,-180.60878641768693,-183.76971001255043,-184.70642953675554,-136.261,-139.264,-139.935,0.513692,0.522734,0.52518
exp420,rbm,73.30003,54.21761,54.60536,0.7158716875,0.8303111328125,0.82976298828125,PF00595,98000,False,True,81,500,None,0.5000,NONE,0.0010,0.0000,0.0000,,,,-70.6502,-124.702,-125.662,0.27068,0.399168,0.400602
exp53,dbm,82.08991,63.21179,62.38294,0.66251765625,0.7468695678710937,0.7492898559570312,PF00240,1000,False,False,69,1000,1000,0.1000,NONE,0.0100,0.5000,0.9000,,,,-97.5469,-125.346,-123.771,0.36796,0.441534,0.436444
exp48,rbm,61.29029,52.82188,53.14108,0.7795459375,0.8405580078125,0.8407505859375,PF00595,100000,True,False,81,1000,None,0.1000,NONE,0.0100,0.5000,0.9000,-113.02901324662867,-126.87271767072059,-127.27401878434682,-88.2123,-111.563,-112.022,0.326843,0.413688,0.413882
exp198,dbm,115.07272,100.39811,100.60014,0.57961425,0.653925927734375,0.653545703125,PF00595,1000,False,False,81,100,100,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-118.113,-125.399,-125.809,0.434659,0.46057,0.461948
exp66,rbm,64.98169,56.74412,57.06879,0.7680708125,0.83376787109375,0.833422265625,PF00595,98000,True,False,81,500,None,0.0100,NONE,0.0100,0.5000,0.9000,-112.63108707458133,-125.46068601938623,-125.79854306146285,-88.269,-110.948,-111.34,0.31533,0.407522,0.408016
exp377,dbm,87.26857,64.25495,63.65987,0.641292109375,0.7454492797851563,0.7484202880859375,PF00240,1000,False,False,69,1000,1000,0.1000,NONE,0.0100,0.0000,0.0000,,,,-99.8621,-127.272,-126.199,0.375647,0.450994,0.448654
exp113,rbm,100.05755,95.22996,94.17007,0.5518755859375,0.5958551025390625,0.602202880859375,PF00240,44000,False,True,69,100,None,0.1000,NONE,0.0010,0.5000,0.9000,-174.93390600085331,-192.95515135569485,-191.64863060642179,-87.4875,-107.952,-106.272,0.382615,0.438612,0.431068
exp371,rbm,39.32345,43.58645,42.91714,0.8362675,0.8453768310546875,0.8481304321289063,PF00240,44000,True,False,69,1000,None,0.1000,NONE,0.0100,0.0000,0.0000,-85.03754870220007,-109.47214937520022,-108.0983507977395,-56.7802,-95.1308,-93.5425,0.232181,0.391115,0.382322
exp165,dbm,116.49270,103.40103,103.90290,0.5724291875,0.63693828125,0.6345728515625,PF00595,121000,True,False,81,100,100,0.5000,INVERSE_T,0.0100,0.5000,0.9000,,,,-119.183,-125.576,-125.852,0.442172,0.463794,0.464845
exp372,rbm,59.09419,50.97312,51.30231,0.78776025,0.850069140625,0.8503654296875,PF00595,100000,True,False,81,1000,None,0.1000,NONE,0.0100,0.0000,0.0000,,,,-85.2329,-109.572,-110.03,0.308989,0.403297,0.403859
exp197,rbm,75.53337,77.41152,76.18502,0.6901765625,0.7078261108398437,0.7123623046875,PF00240,79000,False,False,69,100,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-84.3624,-103.484,-101.884,0.345224,0.426718,0.419817
exp117,dbm,91.31992,75.01314,75.48664,0.6623715,0.724869140625,0.722898779296875,PF00595,183000,False,False,81,100,100,0.1000,NONE,0.0010,0.5000,0.9000,-119.18396514327719,-134.14056706800625,-134.61696130447154,-102.508,-131.024,-131.973,0.363449,0.426014,0.428278
exp30,dbm,114.48071,100.44418,100.66834,0.581625625,0.6532,0.652281494140625,PF00595,1000,True,False,81,100,100,0.1000,NONE,0.0100,0.5000,0.9000,-125.57108983908302,-130.31996442897344,-130.80875781664844,-118.007,-125.208,-125.629,0.435004,0.460111,0.461928
exp9,rbm,104.00066,97.95691,98.31034,0.623971625,0.66719013671875,0.665032080078125,PF00595,5000,False,False,81,100,None,0.5000,NONE,0.0100,0.5000,0.9000,-129.51709709228425,-135.05733928919165,-135.58087207730966,-115.053,-123.887,-124.438,0.42617,0.460033,0.462886
exp272,dbm,58.07455,63.42073,62.29547,0.738581015625,0.7378695678710937,0.7426376953125,PF00240,7000,True,False,69,100,100,0.1000,INVERSE_T,0.0010,0.5000,0.9000,-85.23001137911308,-117.77384947287118,-115.72188488887343,-62.5192,-117.207,-115.058,0.272629,0.406704,0.39899
exp105,dbm,82.96602,47.79204,48.03905,0.6980903125,0.84250859375,0.84270615234375,PF00595,1000,False,True,81,1000,1000,0.5000,NONE,0.0010,0.5000,0.9000,-255.56654935780216,-305.37128295332059,-306.96352151847407,-77.4705,-123.158,-123.932,0.264735,0.379905,0.381888
exp182,dbm,75.53744,72.17057,71.29944,0.67820765625,0.7167391357421875,0.7196376953125,PF00240,200000,True,False,69,1000,1000,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-107.97215278292958,-124.15416282093338,-122.51765367052406,-79.2116,-100.873,-99.4187,0.332688,0.405445,0.399611
exp213,rbm,110.30806,100.10316,100.62921,0.5935338125,0.66312099609375,0.660864208984375,PF00595,100000,False,True,81,1000,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-135.639,-145.98,-146.071,0.463528,0.488529,0.488689
exp90,rbm,80.70547,78.94182,79.31285,0.6924059375,0.7134419921875,0.712607421875,PF00595,4000,False,False,81,100,None,0.5000,NONE,0.0010,0.5000,0.9000,-122.02794339556186,-138.0480353358185,-138.74434759483688,-96.2322,-122.588,-123.35,0.370236,0.444368,0.446413
exp39,dbm,95.29553,77.32674,77.42097,0.6539943125,0.74520986328125,0.744814794921875,PF00595,1000,True,False,81,500,500,0.1000,NONE,0.0100,0.5000,0.9000,-120.05865977030783,-128.90666072042711,-129.4306741980331,-109.807,-125.487,-125.887,0.387208,0.432444,0.434905
exp42,dbm,134.15929,126.80903,127.29881,0.49340771875,0.534029638671875,0.533481494140625,PF00595,1000,False,True,81,500,500,0.1000,NONE,0.0100,0.5000,0.9000,,,,-132.205,-134.795,-135.445,0.500128,0.509512,0.512375
exp444,rbm,11.50911,16.76622,16.93905,0.9598633125,0.94641484375,0.9457728515625,PF00595,98000,True,False,81,500,None,0.1000,NONE,0.0010,0.0000,0.0000,-90.277532511494201,-135.35390131772016,-135.74946285756778,-32.1575,-121.014,-121.396,0.101347,0.418833,0.41902
exp159,dbm,84.56004,49.18199,49.41382,0.694031,0.8386962890625,0.83906669921875,PF00595,11000,False,True,81,1000,1000,0.0100,NONE,0.0010,0.5000,0.9000,,,,-78.4802,-119.934,-120.552,0.275449,0.382089,0.3841
exp75,dbm,84.94656,67.08984,67.17803,0.688028125,0.78922470703125,0.7885728515625,PF00595,1000,True,False,81,1000,1000,0.0100,NONE,0.0100,0.5000,0.9000,,,,-102.226,-125.329,-125.924,0.353933,0.419797,0.422474
exp144,rbm,77.63637,77.96818,78.02522,0.7017705,0.71847900390625,0.71809384765625,PF00595,100000,False,False,81,100,None,0.0100,NONE,0.0010,0.5000,0.9000,,,,-93.1283,-119.884,-120.076,0.359333,0.436099,0.436783
exp381,dbm,115.50262,101.76132,102.05114,0.5742966875,0.646197509765625,0.644977783203125,PF00595,11000,True,False,81,100,100,0.0100,NONE,0.0100,0.0000,0.0000,,,,-117.924,-125.071,-125.534,0.436232,0.461451,0.462882
exp183,rbm,61.59795,52.79663,53.10724,0.778839125,0.841353125,0.8413580078125,PF00595,100000,True,False,81,1000,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,,,,-89.3641,-111.408,-111.846,0.33138,0.411499,0.413226
exp192,rbm,100.20291,95.02755,95.37110,0.639955375,0.682577783203125,0.681916064453125,PF00595,90000,True,False,81,100,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-126.74784197762182,-132.56396005674586,-133.00079042911568,-112.198,-121.359,-121.911,0.412004,0.448698,0.450263
exp209,rbm,38.69276,43.87270,43.04414,0.839278359375,0.8456376953125,0.8475072631835937,PF00240,99000,True,False,69,1000,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-55.7917,-95.0954,-93.4831,0.227365,0.390993,0.383038
exp161,dbm,10.22422,25.26498,25.11243,0.956098359375,0.8990579833984375,0.8995652465820313,PF00240,1000,False,False,69,1000,1000,0.0100,NONE,0.0010,0.5000,0.9000,-90.555865509561272,-150.74045328196598,-148.12340327896709,-41.1509,-210.551,-207.35,0.132986,0.475501,0.470265
exp296,dbm,2.48331,25.34751,25.54277,0.990798203125,0.9008115844726563,0.8993768310546875,PF00240,44000,False,False,69,1000,1000,0.1000,INVERSE_T,0.0010,0.5000,0.9000,-90.087599180689267,-189.83016361325349,-186.11010375605406,-10.4442,-240.23,-236.783,0.0363042,0.478491,0.47194
exp141,dbm,127.55061,116.22407,116.60802,0.5078259375,0.562039501953125,0.562039501953125,PF00595,183000,False,True,81,100,100,0.0100,NONE,0.0010,0.5000,0.9000,-178.47850175809543,-186.9388997166426,-187.35483401952155,-119.027,-123.815,-124.159,0.455339,0.470769,0.471061
exp96,dbm,98.89473,65.74377,65.86271,0.6330866875,0.780567919921875,0.781333349609375,PF00595,1000,False,True,81,500,500,0.5000,NONE,0.0010,0.5000,0.9000,-240.27515310075751,-272.82268851598758,-273.72909399831553,-88.3829,-115.005,-115.381,0.319329,0.398775,0.399975
exp471,dbm,23.44933,19.17845,19.18558,0.9122391875,0.93399013671875,0.93400498046875,PF00595,200000,True,False,81,500,500,0.0100,NONE,0.0010,0.0000,0.0000,,,,-77.3288,-305.306,-307.026,0.148013,0.413276,0.414399
exp120,dbm,14.84906,24.95829,24.85008,0.9423525,0.9136345703125,0.91463212890625,PF00595,19000,True,False,81,500,500,0.1000,NONE,0.0010,0.5000,0.9000,,,,-36.9527,-299.808,-301.992,,,
exp45,rbm,65.59620,56.39850,56.65174,0.764787375,0.82987158203125,0.83004443359375,PF00595,98000,False,False,81,500,None,0.1000,NONE,0.0100,0.5000,0.9000,-116.40945850584626,-129.32979412000628,-129.62525961185804,-90.6793,-113.697,-113.999,0.33225,0.417918,0.419791
exp101,dbm,9.20751,30.47365,29.63676,0.96486109375,0.8962608642578125,0.8986666870117187,PF00240,2000,True,False,69,1000,1000,0.5000,NONE,0.0010,0.5000,0.9000,-323.48540969573287,-410.5513946628671,-411.02159756005949,-35.6331,-365.148,-359.911,0.0682794,0.4255,0.418115
exp171,rbm,100.37516,95.02728,95.36149,0.641020625,0.681585205078125,0.681649365234375,PF00595,90000,False,False,81,100,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-127.51773558537957,-133.27231263527847,-133.72855243388778,-112.833,-121.824,-122.348,0.415498,0.450821,0.453332
exp110,rbm,57.73752,66.09280,65.36679,0.74442375,0.7309855346679688,0.7337536010742187,PF00240,3000,True,False,69,100,None,0.1000,NONE,0.0010,0.5000,0.9000,,,,-67.8742,-108.406,-106.632,0.304519,0.435459,0.427057
exp342,rbm,81.91211,72.22218,72.20100,0.711515875,0.773022216796875,0.77355556640625,PF00595,85000,False,False,81,500,None,0.5000,NONE,0.0100,0.0000,0.0000,,,,-102.543,-119.248,-119.63,0.373462,0.435783,0.436419
exp65,dbm,62.14274,58.39732,57.56567,0.7314634375,0.7800289916992188,0.7822463989257813,PF00240,1000,True,False,69,500,500,0.0100,NONE,0.0100,0.5000,0.9000,-97.01097396976661,-117.16828805100806,-115.28061673445745,-69.1364,-106.048,-104.26,0.284083,0.402861,0.396464
exp482,dbm,55.31319,43.25471,42.83502,0.760961875,0.8243333129882813,0.827159423828125,PF00240,200000,False,True,69,1000,1000,0.0100,NONE,0.0010,0.0000,0.0000,-142.23241523485831,-219.28566326452903,-216.2871247954846,-48.0509,-108.739,-107.083,0.195404,0.362495,0.356254
exp155,dbm,6.85586,32.44682,32.22436,0.970796171875,0.8775652465820313,0.8781884155273437,PF00240,1000,True,False,69,1000,1000,0.0100,NONE,0.0010,0.5000,0.9000,-84.945312212088311,-165.10485043241351,-162.30192687322187,-15.8225,-214.367,-210.606,0.0454129,0.400465,0.395573
exp401,dbm,111.45566,100.84838,99.92552,0.5171324609375,0.599275390625,0.6054202880859375,PF00240,3000,False,True,69,1000,1000,0.0100,NONE,0.0100,0.0000,0.0000,-215.43232463251877,-226.4385132188213,-225.01021156235527,-106.741,-114.426,-113.165,0.450204,0.485094,0.477342
exp77,rbm,86.00060,81.06680,80.51745,0.6355674609375,0.689275390625,0.6919130249023437,PF00240,88000,False,True,69,1000,None,0.0100,NONE,0.0100,0.5000,0.9000,-154.83304340538609,-172.73541240942131,-171.1277209903426,-94.8103,-116.131,-114.308,0.387696,0.446664,0.440739
exp96,rbm,76.28195,56.06173,56.40372,0.7056341875,0.81949140625,0.81976298828125,PF00595,66000,False,True,81,500,None,0.5000,NONE,0.0010,0.5000,0.9000,-187.79105777347206,-224.64497392919344,-225.64179598133148,-76.3659,-129.11,-129.741,0.287922,0.405333,0.407489
exp420,dbm,98.27745,65.57398,65.77024,0.6360669375,0.782414794921875,0.781960498046875,PF00595,2000,False,True,81,500,500,0.5000,NONE,0.0010,0.0000,0.0000,,,,-90.2244,-116.307,-116.812,0.322938,0.399312,0.401287
exp297,rbm,6.58079,9.83078,9.96543,0.977559125,0.96956044921875,0.96868642578125,PF00595,100000,False,False,81,1000,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,,,,-26.969,-111.889,-112.413,0.0665956,0.391354,0.392644
exp27,rbm,80.21050,69.36166,69.60376,0.713954125,0.774474072265625,0.773753076171875,PF00595,71000,False,False,81,1000,None,0.5000,NONE,0.0100,0.5000,0.9000,,,,-103.676,-120.377,-120.704,0.390493,0.446912,0.446586
exp218,rbm,76.62151,78.32741,77.14542,0.68471734375,0.7022608642578125,0.7067391357421875,PF00240,79000,True,False,69,100,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,,,,-85.6371,-103.956,-102.361,0.352678,0.431007,0.424558
exp192,dbm,114.36563,100.66771,100.90459,0.58037475,0.650839501953125,0.649866650390625,PF00595,1000,True,False,81,100,100,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-124.39618537100256,-129.2330584244109,-129.72551623112497,-117.81,-125.156,-125.674,0.433877,0.45945,0.461383
exp234,rbm,64.72671,55.54537,55.82281,0.768540625,0.83733330078125,0.8375111328125,PF00595,98000,False,False,81,500,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-113.70551868118184,-126.29423428036409,-126.65957265099348,-89.4207,-111.624,-111.987,0.320822,0.409702,0.410209
exp57,rbm,100.90422,95.70087,95.94373,0.6358153125,0.681333349609375,0.6794962890625,PF00595,90000,True,False,81,100,None,0.0100,NONE,0.0100,0.5000,0.9000,-127.18109053501507,-133.08432549384915,-133.41861414515446,-112.28,-121.685,-122.08,0.41165,0.448828,0.451255
exp15,dbm,136.16555,129.90367,130.44384,0.48426034375,0.5166271484375,0.514735791015625,PF00595,1000,False,True,81,500,500,0.5000,NONE,0.0100,0.5000,0.9000,,,,-134.113,-136.425,-137.113,0.509339,0.517507,0.520334
exp104,dbm,54.45255,41.25455,40.81336,0.76136078125,0.8323043212890625,0.8343043212890625,PF00240,1000,False,True,69,1000,1000,0.5000,NONE,0.0010,0.5000,0.9000,-175.47325456814826,-261.18550924621468,-257.99685160371712,-41.4413,-113.912,-111.645,0.168262,0.364322,0.355849
exp51,dbm,132.24972,124.35219,124.85022,0.50228459375,0.545595068359375,0.544602490234375,PF00595,1000,False,True,81,1000,1000,0.1000,NONE,0.0100,0.5000,0.9000,-310.1545288516179,-315.59349115622194,-316.58523443317631,-130.914,-133.752,-134.405,0.495418,0.505852,0.508112
exp182,rbm,41.60810,46.33979,45.42914,0.8254265625,0.8313043212890625,0.8352463989257812,PF00240,99000,True,False,69,1000,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-86.453056068045271,-111.28888652436501,-109.92371033775635,-57.8913,-96.7828,-95.1322,0.24253,0.397759,0.390035
exp78,rbm,110.58994,100.36826,100.88863,0.592362375,0.661525927734375,0.6592345703125,PF00595,100000,False,True,81,1000,None,0.0100,NONE,0.0100,0.5000,0.9000,,,,-130.088,-140.178,-140.328,0.450771,0.47613,0.477263
exp201,dbm,94.75325,77.05391,77.13169,0.6553713125,0.746345703125,0.74634072265625,PF00595,1000,True,False,81,500,500,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-118.4339591135307,-127.48007949644034,-127.89336397656245,-108.979,-125.173,-125.463,0.385003,0.431778,0.433598
exp153,rbm,10.94857,14.23120,14.40657,0.9617706875,0.955654296875,0.9550271484375,PF00595,98000,False,False,81,500,None,0.0100,NONE,0.0010,0.5000,0.9000,,,,-32.5296,-118.588,-119.386,0.0973126,0.414857,0.415046
exp309,dbm,21.26642,19.07183,19.13397,0.9193773125,0.9349728515625,0.93447900390625,PF00595,183000,True,False,81,500,500,0.0100,INVERSE_T,0.0010,0.5000,0.9000,,,,-69.4664,-305.841,-308.332,0.136486,0.415729,0.417445
exp242,dbm,68.82046,55.27720,54.53148,0.708050546875,0.7884637451171875,0.790521728515625,PF00240,3000,False,False,69,1000,1000,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-104.71350027441395,-123.01162034726462,-121.13621532683032,-83.6494,-118.228,-116.165,0.327963,0.427814,0.421627
exp117,rbm,76.75505,77.27888,77.83885,0.7051491875,0.719614794921875,0.717619775390625,PF00595,90000,False,False,81,100,None,0.1000,NONE,0.0010,0.5000,0.9000,-115.36644662778849,-132.10224115072299,-132.6893525071248,-92.113,-119.81,-120.757,0.356386,0.435294,0.43786
exp242,rbm,38.01318,40.94479,40.16510,0.84020546875,0.8556087036132812,0.8581304321289063,PF00240,99000,False,False,69,1000,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-85.888876226790899,-109.87199776823627,-108.52025878260997,-58.4403,-96.6661,-95.0608,0.242584,0.398734,0.390197
exp74,rbm,39.10484,43.42991,42.75402,0.837253515625,0.8465362548828125,0.8503333129882813,PF00240,44000,True,False,69,1000,None,0.0100,NONE,0.0100,0.5000,0.9000,-84.265990050985124,-108.56259756416006,-107.29417718332297,-56.8076,-95.0973,-93.4982,0.23081,0.390831,0.38347
exp231,rbm,118.36362,110.09205,110.44345,0.559838375,0.61710615234375,0.615930859375,PF00595,98000,False,True,81,500,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-206.12018555380405,-212.82580165590946,-213.57928520020715,-129.056,-136.343,-136.624,0.463458,0.483082,0.484671
exp213,dbm,132.34177,124.13949,124.62483,0.501999,0.5473728515625,0.546237060546875,PF00595,1000,False,True,81,1000,1000,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-130.853,-133.72,-134.361,0.494952,0.505492,0.50772
exp366,rbm,117.48526,108.97567,109.32349,0.56397225,0.62327900390625,0.621901220703125,PF00595,98000,False,True,81,500,None,0.1000,NONE,0.0100,0.0000,0.0000,,,,-132.643,-140.372,-140.576,0.471167,0.491178,0.492323
exp128,dbm,3.44915,36.95419,36.38193,0.989447265625,0.8595507202148438,0.8622318725585938,PF00240,65000,True,False,69,1000,1000,0.1000,NONE,0.0010,0.5000,0.9000,-171.29993690510787,-276.71264538552134,-273.66295086055311,-1.6356,-178.189,-175.471,0.00428834,0.38259,0.379243
exp50,rbm,87.19163,81.44785,80.88415,0.63042375,0.685724609375,0.6883768310546875,PF00240,56000,False,True,69,1000,None,0.1000,NONE,0.0100,0.5000,0.9000,-157.37769660008462,-175.38896437495498,-173.76445455406815,-100.651,-121.791,-119.984,0.406554,0.463037,0.456312
exp87,rbm,123.73607,115.12481,115.40685,0.52094853125,0.567145703125,0.56720986328125,PF00595,100000,False,True,81,100,None,0.5000,NONE,0.0010,0.5000,0.9000,,,,-117.248,-126.507,-126.637,0.444468,0.467622,0.468087
exp186,dbm,135.06629,128.16461,129.08621,0.48706703125,0.522108642578125,0.51987158203125,PF00595,121000,False,True,81,1000,1000,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-261.249023153753,-265.83334645366006,-266.92416976439063,-132.938,-135.282,-135.991,0.505488,0.514148,0.516138
exp68,rbm,93.73813,89.13194,88.14247,0.6016005859375,0.6513478393554688,0.6563912963867188,PF00240,84000,False,True,69,500,None,0.0100,NONE,0.0100,0.5000,0.9000,-170.32996373493785,-184.89009548319541,-183.4029836415483,-100.229,-117.272,-115.611,0.413061,0.461183,0.456015
exp134,dbm,4.63714,19.55341,19.23428,0.979069765625,0.9251738891601563,0.926478271484375,PF00240,112000,False,False,69,1000,1000,0.1000,NONE,0.0010,0.5000,0.9000,-81.84789922437335,-185.8209553619397,-182.22820977191623,-15.7737,-358.782,-348.405,0.0319708,0.442198,0.432243
exp234,dbm,97.40309,73.05131,73.34698,0.6474726875,0.764943212890625,0.76386171875,PF00595,3000,False,False,81,500,500,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-118.87285853609797,-127.53041602108976,-127.91996757611344,-110.098,-127.701,-128.156,0.384703,0.435688,0.436404
exp347,rbm,87.28819,81.91167,81.05298,0.6302692578125,0.684840576171875,0.6903043212890625,PF00240,37000,False,True,69,1000,None,0.5000,NONE,0.0100,0.0000,0.0000,-173.8623992722238,-191.41373748181047,-189.96118448846141,-98.2342,-119.056,-117.199,0.404336,0.46232,0.454786
exp309,rbm,13.03174,17.28337,17.41494,0.952942625,0.9449234375,0.94442470703125,PF00595,98000,True,False,81,500,None,0.0100,INVERSE_T,0.0010,0.5000,0.9000,,,,-37.3735,-122.444,-122.847,0.134296,0.422565,0.423756
exp140,dbm,105.04475,95.38551,95.02099,0.5339206640625,0.592884033203125,0.5963768310546875,PF00240,62000,False,True,69,100,100,0.0100,NONE,0.0010,0.5000,0.9000,,,,-93.6645,-105.111,-103.722,0.408011,0.449844,0.441779
exp323,dbm,5.83306,16.56837,16.47990,0.97348515625,0.9369420166015625,0.9370289916992187,PF00240,198000,False,False,69,1000,1000,0.0100,INVERSE_T,0.0010,0.5000,0.9000,-84.867621778879766,-178.21505607469589,-175.17418785655855,-30.6116,-360.208,-354.709,0.0575788,0.444499,0.437889
exp77,dbm,109.71886,98.85537,97.78980,0.5245544140625,0.6125362548828125,0.6197825927734375,PF00240,1000,False,True,69,1000,1000,0.0100,NONE,0.0100,0.5000,0.9000,-261.95927295010404,-275.45565422439267,-274.21575042314828,-104.525,-113.067,-111.796,0.437361,0.477137,0.469211
exp132,rbm,46.63506,31.79942,32.09432,0.817621125,0.9048345703125,0.90482470703125,PF00595,100000,False,True,81,1000,None,0.1000,NONE,0.0010,0.5000,0.9000,,,,-44.922,-132.288,-133.473,0.182189,0.382285,0.386107
exp198,rbm,100.04060,94.83073,95.09984,0.641646875,0.6842419921875,0.68399013671875,PF00595,90000,False,False,81,100,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-112.322,-121.392,-121.835,0.412419,0.44823,0.449999
