expid,model_name,Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp326,dbm,94.91788,86.32681,86.00950,0.5993632421875,0.6520579833984375,0.6539420166015625,PF00240,62000,True,False,69,100,100,0.5000,NONE,0.0100,0.0000,0.0000,-119.31201941750146,-128.52242528717557,-127.30812804460908,-94.4573,-107.332,-106.08,0.399669,0.448328,0.443184
exp126,dbm,18.53747,14.53749,14.60052,0.930556125,0.9495111328125,0.949530859375,PF00595,187000,False,False,81,500,500,0.1000,NONE,0.0010,0.5000,0.9000,,,,-63.4619,-354.863,-359.498,0.113829,0.438087,0.441226
exp243,rbm,57.81736,48.18997,48.47871,0.791460125,0.85874072265625,0.859446875,PF00595,100000,False,False,81,1000,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,,,,-87.0386,-110.898,-111.31,0.31807,0.408495,0.409529
exp326,rbm,77.00921,78.50837,77.28945,0.682824609375,0.699202880859375,0.7042174072265625,PF00240,79000,True,False,69,100,None,0.5000,NONE,0.0100,0.0000,0.0000,-104.02716748637741,-116.1383558676628,-114.91031790383366,-85.1523,-104.096,-102.645,0.350599,0.431102,0.426071
exp344,dbm,116.69297,103.85892,102.98738,0.510885234375,0.5686231689453125,0.5733912963867187,PF00240,7000,True,False,69,1000,1000,0.5000,NONE,0.0100,0.0000,0.0000,-152.67090961035262,-159.03690459765227,-158.52587578297005,-110.396,-118.472,-117.572,0.465392,0.493687,0.490836
exp188,dbm,86.36197,75.25500,74.23247,0.6383742578125,0.7021884155273438,0.7056666870117188,PF00240,143000,False,False,69,1000,1000,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-114.63503922623204,-126.26348006264072,-124.71773644056589,-88.947,-107.434,-105.898,0.36832,0.431887,0.424734
exp134,rbm,3.79295,16.14940,15.97944,0.9861428125,0.9362463989257812,0.9370724487304688,PF00240,44000,False,False,69,1000,None,0.1000,NONE,0.0010,0.5000,0.9000,-65.061351620255664,-127.31145187273432,-125.25296349270445,-12.6499,-107.997,-105.815,0.0303835,0.39535,0.386955
exp185,rbm,87.18556,81.65239,80.70866,0.6305490625,0.6874202880859375,0.6920289916992187,PF00240,85000,False,True,69,1000,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-154.94917843492442,-172.897517451814,-171.12401564276877,-101.256,-122.494,-120.629,0.410211,0.466745,0.459162
exp90,dbm,96.11635,78.50630,78.80252,0.64459825,0.707056787109375,0.706987646484375,PF00595,4000,False,False,81,100,100,0.5000,NONE,0.0010,0.5000,0.9000,-123.62533236342858,-138.07299672472357,-138.42999969894066,-105.78,-130.466,-131.233,0.379948,0.434749,0.435676
exp62,rbm,75.89586,77.60991,76.48511,0.688694296875,0.7054347534179688,0.7110144653320313,PF00240,79000,False,False,69,100,None,0.0100,NONE,0.0100,0.5000,0.9000,-103.15328851362307,-115.16935412613793,-113.99476880955459,-84.8307,-103.522,-102.055,0.34746,0.428693,0.422302
