expid,model_name,Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp600,dbm,97.76778,83.55193,84.23471,0.633980125,0.690725927734375,0.688246923828125,PF00595,121000,False,False,81,81,81,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-104.222,-123.474,-124.421,0.38405,0.429311,0.432463
exp500,rbm,64.90375,77.55962,76.56366,0.70644421875,0.6734492797851562,0.680159423828125,PF00240,94000,False,False,69,69,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-71.6233,-106.816,-105.22,0.322367,0.434444,0.427003
exp500,dbm,73.00162,74.61185,74.09384,0.675402265625,0.6853768310546875,0.6893478393554687,PF00240,162000,False,False,69,69,69,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-74.306,-106.63,-105.094,0.327277,0.416257,0.408593
exp501,rbm,9.50506,28.60781,28.27464,0.967509375,0.8877536010742187,0.889275390625,PF00240,100000,False,False,69,250,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-16.8825,-113.158,-111.283,0.0359525,0.419302,0.413969
exp601,dbm,53.77764,36.76502,37.08124,0.8064151875,0.8696494140625,0.86903212890625,PF00595,183000,False,False,81,250,250,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-95.5555,-208.353,-211.36,0.249154,0.415691,0.418498
exp601,rbm,26.36999,32.34479,32.69206,0.8981543125,0.89014814453125,0.8899111328125,PF00595,84000,False,False,81,250,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-51.4321,-130.49,-131.345,0.209481,0.442504,0.443865
exp501,dbm,15.58643,26.71122,26.89598,0.928356484375,0.895724609375,0.8935941772460938,PF00240,198000,False,False,69,250,250,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-20.4494,-246.512,-242.404,0.0606722,0.412698,0.406635
exp600,rbm,86.20645,86.39104,86.80276,0.6688618125,0.681619775390625,0.6807654296875,PF00595,78000,False,False,81,81,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-98.2714,-119.483,-120.025,0.37802,0.439252,0.441504
