expid,model_name,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp600,dbm,,,,-104.222,-123.474,-124.421,0.38405,0.429311,0.432463
exp500,rbm,,,,-71.6233,-106.816,-105.22,0.322367,0.434444,0.427003
exp500,dbm,,,,-74.306,-106.63,-105.094,0.327277,0.416257,0.408593
exp501,rbm,,,,-16.8825,-113.158,-111.283,0.0359525,0.419302,0.413969
exp601,dbm,,,,-95.5555,-208.353,-211.36,0.249154,0.415691,0.418498
exp601,rbm,,,,-51.4321,-130.49,-131.345,0.209481,0.442504,0.443865
exp501,dbm,,,,-20.4494,-246.512,-242.404,0.0606722,0.412698,0.406635
exp600,rbm,,,,-98.2714,-119.483,-120.025,0.37802,0.439252,0.441504
