Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,model_name,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,expid
15.58643,26.71122,26.89598,0.928356484375,0.895724609375,0.8935941772460938,dbm,PF00240,198000,False,False,69,250,250,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp501
9.50506,28.60781,28.27464,0.967509375,0.8877536010742187,0.889275390625,rbm,PF00240,100000,False,False,69,250,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp501
73.00162,74.61185,74.09384,0.675402265625,0.6853768310546875,0.6893478393554687,dbm,PF00240,162000,False,False,69,69,69,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp500
64.90375,77.55962,76.56366,0.70644421875,0.6734492797851562,0.680159423828125,rbm,PF00240,94000,False,False,69,69,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp500
26.36999,32.34479,32.69206,0.8981543125,0.89014814453125,0.8899111328125,rbm,PF00595,84000,False,False,81,250,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp601
53.77764,36.76502,37.08124,0.8064151875,0.8696494140625,0.86903212890625,dbm,PF00595,183000,False,False,81,250,250,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp601
97.76778,83.55193,84.23471,0.633980125,0.690725927734375,0.688246923828125,dbm,PF00595,121000,False,False,81,81,81,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp600
86.20645,86.39104,86.80276,0.6688618125,0.681619775390625,0.6807654296875,rbm,PF00595,78000,False,False,81,81,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp600
